comName,latName,cZone,hZone,deliver,sumNeeds
Lady Fern,Atbyrium filix-femina,2,9,5,SH
Pink Caladiums,C.x bortulanum,10,10,6,PtoSH
Lily-of-the-Valley,Convallaria majalis,2,8,5,PtoSH
Purple Liatris,Liatris spicata,3,9,6,StoP
Black Eyed Susan,Rudbeckia fulgida var. specios,4,10,2,StoP
Nikko Blue Hydrangea,Hydrangea macrophylla,5,9,4,StoSH
Variegated Weigela,W. florida Variegata,4,9,8,StoP
Lombardy Poplar,Populus nigra Italica,3,9,9,S
Purple Leaf Plum Hedge,Prunus x cistena,2,8,7,S
Thorndale Ivy,Hedera belix Thorndale,3,9,1,StoSH